Time (UTC), Channel1
05/22/21 12:20:15, 84.2
05/22/21 12:20:20, 84.2
05/22/21 12:21:10, 87.6
05/22/21 12:21:15, 87.6
05/22/21 12:22:10, 86.3
05/22/21 12:22:15, 86.3
05/22/21 12:23:10, 92.0
05/22/21 12:23:15, 92.0
05/22/21 12:24:10, 96.8
05/22/21 12:24:15, 96.8
05/22/21 12:25:05, 100.6
05/22/21 12:25:10, 100.9
05/22/21 12:25:15, 100.9
05/22/21 12:26:10, 104.8
05/22/21 12:26:15, 104.8
05/22/21 12:27:10, 108.2
05/22/21 12:27:15, 108.2
05/22/21 12:28:10, 111.4
05/22/21 12:28:15, 111.4
05/22/21 12:29:10, 114.2
05/22/21 12:29:15, 114.2
05/22/21 12:30:10, 116.9
05/22/21 12:30:15, 116.9
05/22/21 12:31:10, 119.4
05/22/21 12:31:15, 119.4
05/22/21 12:32:10, 120.1
05/22/21 12:32:15, 120.1
05/22/21 12:33:10, 106.2
05/22/21 12:33:15, 106.2
